state,state_code,racetype,election_year,incumbent,incumbent_party,incumbent_retiring,hete_democrat,hete_republican,democrat_1,democrat_1_probability,democrat_2,democrat_2_probability,democrat_3,democrat_3_probability,democrat_4,democrat_4_probability,democrat_5,democrat_5_probability,democrat_6,democrat_6_probability,republican_1,republican_1_probability,republican_2,republican_2_probability,republican_3,republican_3_probability,republican_4,republican_4_probability,republican_5,republican_5_probability,republican_6,republican_6_probability,independent_1,independent_2,independent_3,independent_4
Alabama,AL,senate_3,2028,Republican Katie Boyd Britt,R,,Democrat Will Boyd,Republican Katie Boyd Britt,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Katie Boyd Britt,0.9,,,,,,,,,,,,
Alaska,AK,senate_3,2028,Republican Lisa Murkowski,R,,Democrat Patricia Chesbro,Republican Lisa Murkowski,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Lisa Murkowski,0.9,,,,,,,,,,,,
Arizona,AZ,senate_3,2028,Democrat Mark Kelly,D,,Democrat Mark Kelly,Republican Blake Masters,A Democratic Candidate,0.1,Democrat Mark Kelly,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Arkansas,AR,senate_3,2028,Republican John Boozman,R,,Democrat Natalie James,Republican John Boozman,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican John Boozman,0.9,,,,,,,,,,,,
California,CA,senate_3,2028,Democrat Alex Padilla,D,,Democrat Alex Padilla,Republican Mark Meuser,A Democratic Candidate,0.1,Democrat Alex Padilla,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Colorado,CO,senate_3,2028,Democrat Michael Bennet,D,,Democrat Michael Bennet,Republican Joe O'Dea,A Democratic Candidate,0.1,Democrat Michael Bennet,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Connecticut,CT,senate_3,2028,Democrat Dick Blumenthal,D,,Democrat Dick Blumenthal,Republican Leora Levy,A Democratic Candidate,0.1,Democrat Dick Blumenthal,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Florida,FL,senate_3,2028,Republican Marco Rubio,R,,Democrat Val Demings,Republican Marco Rubio,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Marco Rubio,0.9,,,,,,,,,,,,
Georgia,GA,senate_3,2028,Democrat Raphael Warnock,D,,Democrat Raphael Warnock,Republican Herschel Walker,A Democratic Candidate,0.1,Democrat Raphael Warnock,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Hawaii,HI,senate_3,2028,Democrat Brian Schatz,D,,Democrat Brian Schatz,Republican Bob McDermott,A Democratic Candidate,0.1,Democrat Brian Schatz,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Idaho,ID,senate_3,2028,Republican Mike Crapo,R,,Democrat David Roth,Republican Mike Crapo,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Mike Crapo,0.9,,,,,,,,,,,,
Illinois,IL,senate_3,2028,Democrat Tammy Duckworth,D,,Democrat Tammy Duckworth,Republican Kathy Salvi,A Democratic Candidate,0.1,Democrat Tammy Duckworth,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Indiana,IN,senate_3,2028,Republican Todd Young,R,,Democrat Tom McDermott,Republican Todd Young,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Todd Young,0.9,,,,,,,,,,,,
Iowa,IA,senate_3,2028,Republican Chuck Grassley,R,,Democrat Mike Franken,Republican Chuck Grassley,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Chuck Grassley,0.9,,,,,,,,,,,,
Kansas,KS,senate_3,2028,Republican Jerry Moran,R,,Democrat Mark Holland,Republican Jerry Moran,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Jerry Moran,0.9,,,,,,,,,,,,
Kentucky,KY,senate_3,2028,Republican Rand Paul,R,,Democrat Charles Booker,Republican Rand Paul,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Rand Paul,0.9,,,,,,,,,,,,
Louisiana,LA,senate_3,2028,Republican John Kennedy,R,,Democrat Gary Chambers,Republican John Kennedy,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican John Kennedy,0.9,,,,,,,,,,,,
Maryland,MD,senate_3,2028,Democrat Chris Van Hollen,D,,Democrat Chris Van Hollen,Republican Chris Chaffee,A Democratic Candidate,0.1,Democrat Chris Van Hollen,0.9,,,,,,,,,A Republican Candidate,1,,,,,,,,,,,,,,
Missouri,MO,senate_3,2028,Republican Eric Schmitt,R,,Democrat Trudy Busch Valentine,Republican Eric Schmitt,A Democratic Candidate,1,,,,,,,,,,,A Republican Candidate,0.1,Republican Eric Schmitt,0.9,,,,,,,,,,,,
